Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
P+R Uithof;0;6;7;136,1079936;111,2729658;3,71;2,904761905;0,097915017;0,080052493;;0,9375;0;0,5;0;3,5;0
WKZ;0;6;7;136,1079936;111,2729658;3,71;2,904761905;0,097915017;0,080052493;;63,4375;0;151,5;0;132,5;0
UMC;0;6;7;136,1079936;111,2729658;3,71;2,904761905;0,097915017;0,080052493;;166,25;0;39;0;598,5;0
Heidelberglaan;0;6;7;298,6304764;0;8,14;0;0,21483241;0;;571,125;0;77,5;0;1650;0
Padualaan;0;6;7;4,592983767;0;0,57;0;0,003304156;0;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;6;7;45,49162046;0;1,24;0;0,032726313;0;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;6;7;120,6995414;20,06561675;3,29;0,523809524;0,086830298;0,014435696;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;6;7;496,0054104;40,13123363;13,52;1,047619048;0,356822381;0,028871391;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;6;7;0;995,9842519;0;26;0;0,716535433;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;7;8;364,6625102;58,42028985;134,62;6,904761905;0,262335334;0,042028986;;0,9375;0;0,5;0;3,5;0
WKZ;0;7;8;364,6625102;58,42028985;134,62;6,904761905;0,262335334;0,042028986;;63,4375;0;151,5;0;132,5;0
UMC;0;7;8;364,6625102;58,42028985;134,62;6,904761905;0,262335334;0,042028986;;166,25;0;39;0;598,5;0
Heidelberglaan;0;7;8;92,23561482;0;34,05;0;0,066353574;0;;571,125;0;77,5;0;1650;0
Padualaan;0;7;8;9,099816464;1,487824447;4,86;0,19047619;0,006546336;0,001070377;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;7;8;18,06788697;62,04637687;6,67;7,333333333;0,012997895;0,044637681;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;7;8;20,6412741;62,85217391;7,62;7,428571429;0,01484917;0,045217391;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;7;8;151,9652861;166,8;56,1;19,71428571;0,109322628;0,12;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;7;8;0;921,4289855;0;108,9047619;0;0,662898551;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;8;9;386,2988575;73,57617125;229,24;13,66666667;0,277900352;0,052932497;;0,9375;0;0,5;0;3,5;0
WKZ;0;8;9;386,2988575;73,57617125;229,24;13,66666667;0,277900352;0,052932497;;63,4375;0;151,5;0;132,5;0
UMC;0;8;9;386,2988575;73,57617125;229,24;13,66666667;0,277900352;0,052932497;;166,25;0;39;0;598,5;0
Heidelberglaan;0;8;9;73,909736;1,281814771;43,86;0,238095238;0,053170081;0,000922169;;571,125;0;77,5;0;1650;0
Padualaan;0;8;9;15,48377761;31,22214358;10,33;6,047619048;0,011138908;0,022461974;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;8;9;9,301909311;105,3651789;5,52;19,57142857;0,00669172;0,075802287;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;8;9;22,78293727;56,65621541;13,52;10,52380952;0,016389865;0,040759867;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;8;9;107,7639676;169,4559204;63,95;31,47619048;0,077524548;0,121910734;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;8;9;0;803,9542603;0;149,3333333;0;0,57838436;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;9;10;349,467912;85,56115685;102,48;11,04761905;0,25140446;0,061554789;;0,9375;0;0,5;0;3,5;0
WKZ;0;9;10;349,467912;85,56115685;102,48;11,04761905;0,25140446;0,061554789;;63,4375;0;151,5;0;132,5;0
UMC;0;9;10;349,467912;85,56115685;102,48;11,04761905;0,25140446;0,061554789;;166,25;0;39;0;598,5;0
Heidelberglaan;0;9;10;132,9942289;3,319182807;39;0,428571429;0,095674999;0,002387901;;571,125;0;77,5;0;1650;0
Padualaan;0;9;10;26,8733716;35,92445326;11,33;4,952380952;0,019332492;0,02584493;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;9;10;19,81272998;77,44759883;5,81;10;0,014253122;0,055717697;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;9;10;21,44958209;37,61740515;6,29;4,857142857;0,01543066;0,027062881;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;9;10;128,7656943;131,660918;37,76;17;0,092633025;0,094720085;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;9;10;0;844,9164234;0;109,0952381;0;0,607853542;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;10;11;274,7146312;35,83198545;178,43;12,14285714;0,197627539;0,025778407;;0,9375;0;0,5;0;3,5;0
WKZ;0;10;11;274,7146312;35,83198545;178,43;12,14285714;0,197627539;0,025778407;;63,4375;0;151,5;0;132,5;0
UMC;0;10;11;274,7146312;35,83198545;178,43;12,14285714;0,197627539;0,025778407;;166,25;0;39;0;598,5;0
Heidelberglaan;0;10;11;277,5783268;1,264658279;180,29;0,428571429;0,199687659;0,000909826;;571,125;0;77,5;0;1650;0
Padualaan;0;10;11;115,6204865;11,65647203;90,14;4,047619048;0,083176466;0,008385951;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;10;11;46,77369554;73,49069959;30,38;24,9047619;0,033648628;0,052871007;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;10;11;20,30760516;25,99575415;13,19;8,80952381;0,014609131;0,018701981;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;10;11;82,47751382;83,88900117;53,57;28,42857143;0,059333673;0,060351799;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;10;11;0;1085,919935;0;368;0;0,781237364;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;11;12;258,8086306;30,75723223;180,86;11,61904762;0,186184888;0,022127505;;0,9375;0;0,5;0;3,5;0
WKZ;0;11;12;258,8086306;30,75723223;180,86;11,61904762;0,186184888;0,022127505;;63,4375;0;151,5;0;132,5;0
UMC;0;11;12;258,8086306;30,75723223;180,86;11,61904762;0,186184888;0,022127505;;166,25;0;39;0;598,5;0
Heidelberglaan;0;11;12;265,6201372;1,26054235;185,62;0,476190476;0,191085032;0,000906865;;571,125;0;77,5;0;1650;0
Padualaan;0;11;12;107,9894696;11,5628319;104,62;4,476190476;0,077686773;0,008318584;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;11;12;43,07276228;19,28629726;30,1;7,285714286;0,030986206;0,013875034;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;11;12;27,26033623;26,47138838;19,05;10;0,019610871;0,019044164;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;11;12;127,9733266;75,00226718;89,43;28,33333333;0,092063002;0,053958466;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;11;12;0;1163,85871;0;439,6666667;0;0,837308425;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;12;13;256,6333406;17,33056267;375,29;13;0,184620001;0,012468031;;0,9375;0;0,5;0;3,5;0
WKZ;0;12;13;256,6333406;17,33056267;375,29;13;0,184620001;0,012468031;;63,4375;0;151,5;0;132,5;0
UMC;0;12;13;256,6333406;17,33056267;375,29;13;0,184620001;0,012468031;;166,25;0;39;0;598,5;0
Heidelberglaan;0;12;13;309,2196175;1,460084078;452,19;1,095238095;0,222450154;0,00105042;;571,125;0;77,5;0;1650;0
Padualaan;0;12;13;155,3134931;4,895471163;253,62;3,714285714;0,111731302;0,003521922;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;12;13;30,18411265;18,21930949;44,14;13,66666667;0,021714213;0,013107417;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;12;13;18,81891217;28,75730732;27,52;21,57142857;0,013538177;0,02068871;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;12;13;88,50769614;87,47807819;129,43;65,61904762;0,063671739;0,062933869;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;12;13;0;1197,141944;0;898;0;0,861253197;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;13;14;232,3597065;20,3126456;237,14;11,95238095;0,16715774;0,014613414;;0,9375;0;0,5;0;3,5;0
WKZ;0;13;14;232,3597065;20,3126456;237,14;11,95238095;0,16715774;0,014613414;;63,4375;0;151,5;0;132,5;0
UMC;0;13;14;232,3597065;20,3126456;237,14;11,95238095;0,16715774;0,014613414;;166,25;0;39;0;598,5;0
Heidelberglaan;0;13;14;279,5390936;1,618537545;285,29;0,952380952;0,201098219;0,001164416;;571,125;0;77,5;0;1650;0
Padualaan;0;13;14;170,5968578;4,378830403;225,19;2,619047619;0,122726034;0,003150238;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;13;14;35,64664807;8,982883062;36,38;5,285714286;0,025643918;0,006462506;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;13;14;26,26956112;29,29552866;26,81;17,23809524;0,018898115;0,02107592;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;13;14;130,8774817;80,36038664;133,57;47,28571429;0,094152228;0,057813228;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;13;14;0;1204,353749;0;708,6666667;0;0,866441546;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;14;15;257,7660035;16,04282219;416,24;13,47619048;0,18543483;0,011541599;;0,9375;0;0,5;0;3,5;0
WKZ;0;14;15;257,7660035;16,04282219;416,24;13,47619048;0,18543483;0,011541599;;63,4375;0;151,5;0;132,5;0
UMC;0;14;15;257,7660035;16,04282219;416,24;13,47619048;0,18543483;0,011541599;;166,25;0;39;0;598,5;0
Heidelberglaan;0;14;15;281,1187711;1,133768373;453,95;0,952380952;0,202234627;0,000815661;;571,125;0;77,5;0;1650;0
Padualaan;0;14;15;148,4898337;4,314681903;306,81;3,666666667;0,106822415;0,003104088;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;14;15;16,92471862;21,37153342;27,33;17,95238095;0,012175509;0,015375204;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;14;15;22,29381153;29,30791189;36;24,61904762;0,016037992;0,021084829;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;14;15;106,4281794;79,53384997;171,86;66,80952381;0,076563593;0,057218597;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;14;15;0;1206,159462;0;1013,190476;0;0,86774062;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;15;16;280,9207379;12,68393848;627,48;13,61904762;0,202092163;0,009125136;;0,9375;0;0,5;0;3,5;0
WKZ;0;15;16;280,9207379;12,68393848;627,48;13,61904762;0,202092163;0,009125136;;63,4375;0;151,5;0;132,5;0
UMC;0;15;16;280,9207379;12,68393848;627,48;13,61904762;0,202092163;0,009125136;;166,25;0;39;0;598,5;0
Heidelberglaan;0;15;16;248,1314301;1,640929055;554,24;1,761904762;0,178503794;0,001180525;;571,125;0;77,5;0;1650;0
Padualaan;0;15;16;138,0066565;1,889721402;382,71;2,047619048;0,0992809;0,001359512;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;15;16;29,23011887;7,007210732;65,29;7,523809524;0,021027917;0,005041159;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;15;16;33,87721082;21,15468063;75,67;22,71428571;0,024370998;0,015219195;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;15;16;64,72351478;92,11377698;144,57;98,9047619;0,046561586;0,066268904;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;15;16;0;1228,124561;0;1318,666667;0;0,88354285;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;16;17;299,588979;11,5297688;749,9;13,66666667;0,215521949;0,008294798;;0,9375;0;0,5;0;3,5;0
WKZ;0;16;17;299,588979;11,5297688;749,9;13,66666667;0,215521949;0,008294798;;63,4375;0;151,5;0;132,5;0
UMC;0;16;17;299,588979;11,5297688;749,9;13,66666667;0,215521949;0,008294798;;166,25;0;39;0;598,5;0
Heidelberglaan;0;16;17;227,9257291;2,330057834;570,52;2,761904762;0,163967972;0,001676301;;571,125;0;77,5;0;1650;0
Padualaan;0;16;17;130,1140908;2,712117265;381,19;3,238095238;0,093603051;0,001951164;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;16;17;19,61570725;5,503757264;49,1;6,523809524;0,014111385;0,003959538;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;16;17;34,88879253;19,92601154;87,33;23,61904762;0,025098722;0,01433526;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;16;17;56,57793202;95,85375726;141,62;113,6190476;0,040701718;0,068959538;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;16;17;0;1229,065318;0;1456,857143;0;0,884219653;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;17;18;301,2211873;13,00615091;592,95;11,95238095;0,216696147;0,009356943;;0,9375;0;0,5;0;3,5;0
WKZ;0;17;18;301,2211873;13,00615091;592,95;11,95238095;0,216696147;0,009356943;;63,4375;0;151,5;0;132,5;0
UMC;0;17;18;301,2211873;13,00615091;592,95;11,95238095;0,216696147;0,009356943;;166,25;0;39;0;598,5;0
Heidelberglaan;0;17;18;241,1801517;1,191798649;474,76;1,095238095;0,173503099;0,000857409;;571,125;0;77,5;0;1650;0
Padualaan;0;17;18;137,0829499;2,832740492;297,43;2,619047619;0,098616393;0,002037943;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;17;18;20,29477433;6,269897464;39,95;5,761904762;0,014599901;0,004510718;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;17;18;34,49349628;18,03243247;67,9;16,57142857;0,024814349;0,012972973;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;17;18;39,33477788;93,47847147;77,43;85,9047619;0,028297129;0,067250699;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;17;18;0;1229,158994;0;1129,571429;0;0,884287046;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;18;19;305,2517227;20,71023772;279,71;7,761904762;0,219595682;0,014899452;;0,9375;0;0,5;0;3,5;0
WKZ;0;18;19;305,2517227;20,71023772;279,71;7,761904762;0,219595682;0,014899452;;63,4375;0;151,5;0;132,5;0
UMC;0;18;19;305,2517227;20,71023772;279,71;7,761904762;0,219595682;0,014899452;;166,25;0;39;0;598,5;0
Heidelberglaan;0;18;19;226,840739;1,778793425;207,86;0,666666667;0,163187439;0,001279708;;571,125;0;77,5;0;1650;0
Padualaan;0;18;19;135,305994;2,395899493;129,19;0,904761905;0,097338065;0,001723669;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;18;19;16,1623754;12,07038387;14,81;4,523809524;0,011627085;0,008683729;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;18;19;34,71473057;21,59963437;31,81;8,095238095;0,024973503;0,015539305;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;18;19;55,6025;123,499086;50,95;46,28571429;0,04;0,088848263;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;18;19;0;1166,507313;0;437,1904762;0;0,839213894;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;19;20;196,3408671;22,31096506;53,48;3,952380952;0,141246071;0,016051054;;0,9375;0;0,5;0;3,5;0
WKZ;0;19;20;196,3408671;22,31096506;53,48;3,952380952;0,141246071;0,016051054;;63,4375;0;151,5;0;132,5;0
UMC;0;19;20;196,3408671;22,31096506;53,48;3,952380952;0,141246071;0,016051054;;166,25;0;39;0;598,5;0
Heidelberglaan;0;19;20;406,4490912;0,806420454;110,71;0,142857143;0,292396271;0,000580159;;571,125;0;77,5;0;1650;0
Padualaan;0;19;20;195,3093266;0,793530011;60,05;0,142857143;0,140503989;0,000570885;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;19;20;28,15883413;8,870624577;7,67;1,571428571;0,020257243;0,006381744;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;19;20;49,8194758;26,61187387;13,57;4,714285714;0,035839738;0,019145233;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;19;20;96,15122113;135,209824;26,19;23,95238095;0,06917043;0,097273255;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;19;20;0;1150,761942;0;203,8571429;0;0,827886289;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;20;21;245,0361429;35,39254321;48,76;4;0,176277069;0,025462261;;0,9375;0;0,5;0;3,5;0
WKZ;0;20;21;245,0361429;35,39254321;48,76;4;0,176277069;0,025462261;;63,4375;0;151,5;0;132,5;0
UMC;0;20;21;245,0361429;35,39254321;48,76;4;0,176277069;0,025462261;;166,25;0;39;0;598,5;0
Heidelberglaan;0;20;21;226,8443703;0,421339858;45,14;0,047619048;0,163190051;0,000303122;;571,125;0;77,5;0;1650;0
Padualaan;0;20;21;222,4745128;1,24033314;46,9;0,142857143;0,16004641;0,000892326;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;20;21;23,46839183;4,213398024;4,67;0,476190476;0,016882976;0,003031222;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;20;21;45,47943184;17,69627153;9,05;2;0,032717545;0,012731131;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;20;21;123,4728883;125,5592604;24,57;14,19047619;0,088825422;0,090330403;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;20;21;0;1134,668081;0;128,2380952;0;0,816307972;;0;1322,75;0;404,5;0;3870,5
