Trip;Date;Departure;P+R Uithof;WKZ;UMC;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Vaartscherijn;CS Centrumzijde
R1002;2-9-2015;6:11;0,00;0,00;0,00;0;0;0;0;1;0
R1004;2-9-2015;6:35;0,00;0,00;0,00;1;0;0;2;7;0
R1006;2-9-2015;6:54;0,33;0,33;0,33;4;0;1;0;0;0
R1008;2-9-2015;7:14;0,33;0,33;0,33;4;0;1;0;3;0
R1010;2-9-2015;7:23;0,00;0,00;0,00;2;2;1;0;7;0
R1012;2-9-2015;7:32;0,00;0,00;0,00;14;1;1;1;8;0
R1014;2-9-2015;7:39;0,00;0,00;0,00;7;0;1;0;3;0
R1016;2-9-2015;7:49;2,67;2,67;2,67;6;2;1;1;7;0
R1018;2-9-2015;7:54;0,00;0,00;0,00;0;0;0;0;4;0
R1020;2-9-2015;7:58;0,67;0,67;0,67;1;0;0;0;0;0
R1022;2-9-2015;8:02;0,00;0,00;0,00;4;0;0;2;16;0
R1024;2-9-2015;8:06;0,00;0,00;0,00;0;0;0;1;2;0
R1026;2-9-2015;8:10;1,00;1,00;1,00;7;1;1;1;15;0
R1028;2-9-2015;8:15;0,67;0,67;0,67;4;1;0;2;11;0
R1030;2-9-2015;8:19;0,33;0,33;0,33;1;0;0;1;7;0
R1032;2-9-2015;8:23;1,33;1,33;1,33;0;0;0;0;3;0
R1034;2-9-2015;8:27;1,33;1,33;1,33;4;1;1;1;9;0
R1036;2-9-2015;8:32;0,67;0,67;0,67;1;0;0;1;1;0
R1038;2-9-2015;8:36;0,67;0,67;0,67;2;0;0;0;1;0
R1040;2-9-2015;8:40;0,00;0,00;0,00;0;3;0;0;5;0
R1042;2-9-2015;8:44;0,33;0,33;0,33;4;1;1;0;5;0
R1044;2-9-2015;8:49;3,33;3,33;3,33;4;2;0;2;1;0
R1046;2-9-2015;8:54;1,67;1,67;1,67;4;0;0;0;2;0
R1048;2-9-2015;8:59;0,67;0,67;0,67;1;0;0;0;3;0
R1050;2-9-2015;9:03;0,00;0,00;0,00;1;1;0;0;9;0
R1052;2-9-2015;9:08;1,33;1,33;1,33;5;0;0;0;0;0
R1054;2-9-2015;9:13;0,67;0,67;0,67;0;0;0;0;2;0
R1056;2-9-2015;9:18;1,00;1,00;1,00;3;1;0;0;0;0
R1058;2-9-2015;9:23;0,67;0,67;0,67;3;0;0;0;0;0
R1060;2-9-2015;9:28;0,33;0,33;0,33;0;0;0;1;7;0
R1062;2-9-2015;9:32;0,00;0,00;0,00;2;0;0;1;1;0
R1064;2-9-2015;9:37;0,33;0,33;0,33;4;0;0;1;2;0
R1066;2-9-2015;9:42;0,00;0,00;0,00;0;0;0;0;4;0
R1070;2-9-2015;9:51;0,67;0,67;0,67;4;1;1;1;0;0
R1072;2-9-2015;9:56;0,00;0,00;0,00;14;0;0;3;8;0
R1074;2-9-2015;10:01;0,33;0,33;0,33;0;0;0;0;0;0
R1076;2-9-2015;10:06;0,00;0,00;0,00;0;0;0;2;7;0
R1078;2-9-2015;10:11;1,67;1,67;1,67;12;5;0;0;7;0
R1082;2-9-2015;10:20;0,00;0,00;0,00;5;5;0;3;4;0
R1084;2-9-2015;10:25;0,00;0,00;0,00;0;0;0;0;0;0
R1086;2-9-2015;10:30;2,33;2,33;2,33;3;8;0;2;13;0
R1088;2-9-2015;10:34;0,00;0,00;0,00;10;38;1;1;20;0
R1090;2-9-2015;10:39;2,00;2,00;2,00;34;10;0;2;4;0
R1092;2-9-2015;10:44;0,00;0,00;0,00;0;0;0;0;0;0
R1094;2-9-2015;10:49;0,67;0,67;0,67;19;3;0;2;6;0
R1096;2-9-2015;10:54;0,67;0,67;0,67;70;32;8;1;4;0
R1098;2-9-2015;10:58;0,33;0,33;0,33;22;6;3;0;11;0
R1100;2-9-2015;11:03;0,33;0,33;0,33;45;23;2;0;5;0
R1102;2-9-2015;11:08;1,00;1,00;1,00;53;23;2;0;0;0
R1104;2-9-2015;11:13;0,00;0,00;0,00;10;7;0;3;6;0
R1106;2-9-2015;11:17;1,33;1,33;1,33;0;11;2;0;16;0
R1108;2-9-2015;11:22;0,00;0,00;0,00;12;24;3;1;8;0
R1110;2-9-2015;11:27;1,67;1,67;1,67;17;35;1;1;0;0
R1112;2-9-2015;11:32;1,67;1,67;1,67;0;6;2;0;12;0
R1114;2-9-2015;11:37;0,00;0,00;0,00;19;25;1;0;1;0
R1116;2-9-2015;11:41;1,00;1,00;1,00;19;15;0;1;4;0
R1118;2-9-2015;11:46;1,00;1,00;1,00;10;13;2;3;24;0
R1120;2-9-2015;11:51;1,00;1,00;1,00;27;18;0;2;30;0
R1122;2-9-2015;11:56;1,33;1,33;1,33;24;7;0;2;17;0
R1124;2-9-2015;12:00;0,33;0,33;0,33;20;5;1;5;27;0
R1126;2-9-2015;12:05;3,33;3,33;3,33;24;24;0;0;18;0
R1128;2-9-2015;12:10;0,00;0,00;0,00;0;0;0;2;5;0
R1130;2-9-2015;12:15;2,00;2,00;2,00;31;45;1;6;23;0
R1132;2-9-2015;12:20;0,00;0,00;0,00;18;0;0;0;22;0
R1134;2-9-2015;12:24;1,33;1,33;1,33;28;5;0;0;5;0
R1136;2-9-2015;12:29;0,33;0,33;0,33;24;14;0;0;24;0
R1138;2-9-2015;12:34;1,67;1,67;1,67;36;41;1;3;13;0
R1140;2-9-2015;12:39;2,67;2,67;2,67;50;17;3;3;10;0
R1142;2-9-2015;12:43;6,33;6,33;6,33;4;7;0;0;8;0
R1144;2-9-2015;12:48;32,67;32,67;32,67;18;16;1;5;6;0
R1146;2-9-2015;12:53;0,00;0,00;0,00;0;63;8;0;6;0
