Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1001;2-9-2015;6:10;134;4;0;0;0;0;0;0;0
R1003;2-9-2015;6:30;25;3;2;0;0;0;0;0;0
R1005;2-9-2015;6:42;21;0;1;0;0;0;0;0;0
R1007;2-9-2015;6:55;43;1;1;0;2;1;0;0;0
R1009;2-9-2015;7:05;0;0;2;0;0;0;0;0;0
R1011;2-9-2015;7:14;64;1;0;1;0;0;0;0;0
R1013;2-9-2015;7:21;61;2;1;0;2;0;0;0;0
R1015;2-9-2015;7:26;60;2;1;1;1;0;0;0;0
R1017;2-9-2015;7:31;45;1;2;0;0;0;0;0;0
R1019;2-9-2015;7:36;60;1;2;4;1;0;0;0;0
R1021;2-9-2015;7:40;62;0;0;0;0;0;0;0;0
R1023;2-9-2015;7:44;62;1;0;0;1;0;0;0;0
R1025;2-9-2015;7:48;68;2;0;2;2;0;0;0;0
R1027;2-9-2015;7:52;117;1;1;3;4;2;0;0;0
R1029;2-9-2015;7:57;0;0;1;2;1;2;0;0;0
R1031;2-9-2015;8:01;253;3;1;0;2;0;0;0;0
R1033;2-9-2015;8:05;160;3;0;2;0;1;0;0;0
R1035;2-9-2015;8:09;203;2;1;0;0;0;0;0;0
R1037;2-9-2015;8:14;196;3;0;2;0;0;0;0;0
R1039;2-9-2015;8:18;243;3;0;3;4;0;0;0;0
R1041;2-9-2015;8:22;232;5;0;2;0;0;0;0;0
R1043;2-9-2015;8:26;308;3;0;4;10;0;1;0;0
R1045;2-9-2015;8:30;663;16;1;1;4;0;0;0;0
R1047;2-9-2015;8:35;406;0;4;6;4;1;1;0;0
R1049;2-9-2015;8:39;190;3;5;0;1;0;0;0;0
R1051;2-9-2015;8:43;145;4;0;0;0;0;0;0;0
R1053;2-9-2015;8:47;376;3;1;17;3;3;0;0;0
R1055;2-9-2015;8:52;138;0;0;1;1;0;0;0;0
R1057;2-9-2015;8:56;90;3;0;0;0;0;0;0;0
R1059;2-9-2015;9:00;21;21;0;1;0;0;0;1;0
R1061;2-9-2015;9:05;117;3;2;3;1;1;0;0;0
R1063;2-9-2015;9:09;82;0;0;0;0;0;0;0;0
R1065;2-9-2015;9:14;149;1;0;1;0;0;0;0;0
R1067;2-9-2015;9:19;127;2;1;0;0;1;0;0;0
R1069;2-9-2015;9:24;157;2;1;2;3;2;1;0;0
R1071;2-9-2015;9:28;221;5;3;4;8;0;1;0;0
R1073;2-9-2015;9:33;36;0;1;1;0;0;0;0;0
R1075;2-9-2015;9:38;66;1;0;0;0;0;0;0;0
R1077;2-9-2015;9:43;118;0;0;1;0;0;0;0;0
R1079;2-9-2015;9:48;47;0;0;0;1;0;0;0;0
R1081;2-9-2015;9:52;89;0;0;0;0;0;0;0;0
R1083;2-9-2015;9:57;61;0;0;1;2;0;0;0;0
R1085;2-9-2015;10:02;121;6;5;0;3;1;0;0;0
R1089;2-9-2015;10:11;94;2;1;2;0;3;0;0;0
R1091;2-9-2015;10:16;163;0;25;7;1;1;0;1;0
R1093;2-9-2015;10:21;124;3;0;1;2;1;0;1;0
R1095;2-9-2015;10:26;323;2;1;2;7;2;1;1;0
R1097;2-9-2015;10:31;99;2;2;5;1;0;0;0;0
R1099;2-9-2015;10:35;2;3;4;2;0;0;0;0;0
R1101;2-9-2015;10:40;110;3;1;3;2;0;0;0;0
R1103;2-9-2015;10:45;33;0;0;101;1;1;0;1;0
R1105;2-9-2015;10:50;35;1;1;0;2;0;0;0;0
R1107;2-9-2015;10:54;20;0;0;0;0;0;0;0;0
R1109;2-9-2015;10:59;39;1;1;0;1;1;0;0;0
R1111;2-9-2015;11:04;10;3;0;0;2;0;0;0;0
R1113;2-9-2015;11:09;1;84;1;1;0;0;0;0;0
R1115;2-9-2015;11:14;39;0;0;1;0;0;0;0;0
R1117;2-9-2015;11:18;4;0;0;0;5;0;0;0;0
R1119;2-9-2015;11:23;49;1;1;0;0;0;0;0;0
R1121;2-9-2015;11:28;39;2;0;1;0;0;0;0;0
R1123;2-9-2015;11:33;22;1;0;0;2;1;1;0;0
R1125;2-9-2015;11:37;33;0;1;2;0;0;0;0;0
R1127;2-9-2015;11:42;52;0;0;1;3;1;0;0;0
R1129;2-9-2015;11:47;0;2;2;0;0;0;0;0;0
R1131;2-9-2015;11:52;52;0;0;0;0;0;0;0;0
R1133;2-9-2015;11:57;75;0;0;0;3;0;0;0;0
R1135;2-9-2015;12:01;8;0;0;0;0;0;0;0;0
R1137;2-9-2015;12:06;48;0;0;0;1;0;0;0;0
R1139;2-9-2015;12:11;68;0;0;0;1;0;1;0;0
R1141;2-9-2015;12:16;51;1;0;0;0;0;0;0;0
R1143;2-9-2015;12:20;46;0;0;2;0;0;1;0;0
R1145;2-9-2015;12:25;88;0;2;1;9;0;3;0;0
R1147;2-9-2015;12:30;0;1;0;1;0;0;0;0;0
R1149;2-9-2015;12:35;247;0;1;1;5;0;1;0;0
R1151;2-9-2015;12:40;0;3;0;1;0;0;0;0;0
R1153;2-9-2015;12:44;80;0;1;0;0;0;0;0;0
R1155;2-9-2015;12:49;66;0;0;2;0;1;0;0;0
R1157;2-9-2015;12:54;106;0;2;1;5;8;1;0;0
R1159;2-9-2015;12:59;98;0;0;8;0;0;0;0;0
R1161;2-9-2015;13:03;54;0;2;0;1;0;0;0;0
R1163;2-9-2015;13:08;96;0;7;2;0;0;0;0;0
R1165;2-9-2015;13:13;0;0;0;0;0;0;0;0;0
R1167;2-9-2015;13:18;140;0;1;4;5;0;0;0;0
R1169;2-9-2015;13:23;47;1;0;0;0;0;0;0;0
R1171;2-9-2015;13:27;17;0;1;1;0;0;0;0;0
R1173;2-9-2015;13:32;42;2;0;0;2;0;0;0;0
R1175;2-9-2015;13:37;34;3;1;1;5;0;0;0;0
R1177;2-9-2015;13:42;37;0;0;0;0;0;0;0;0
R1179;2-9-2015;13:46;0;3;0;1;0;1;0;0;0
R1181;2-9-2015;13:51;55;1;1;2;0;0;2;0;0
R1183;2-9-2015;13:56;0;0;0;0;0;0;0;0;0
R1185;2-9-2015;14:01;56;0;0;1;1;0;0;0;0
R1187;2-9-2015;14:06;27;0;0;0;6;0;0;0;0
R1189;2-9-2015;14:10;16;0;0;1;0;0;0;0;0
R1191;2-9-2015;14:15;5;1;0;0;0;1;0;0;0
R1193;2-9-2015;14:20;57;3;0;0;3;1;0;0;0
R1195;2-9-2015;14:25;17;0;0;1;0;0;0;0;0
R1197;2-9-2015;14:29;53;3;1;5;3;0;0;0;0
R1199;2-9-2015;14:34;22;0;0;0;0;0;0;0;0
R1201;2-9-2015;14:39;0;0;0;0;0;0;0;0;0
R1203;2-9-2015;14:42;77;7;2;5;0;0;1;0;0
R1205;2-9-2015;14:48;21;1;0;0;0;0;0;0;0
R1207;2-9-2015;14:52;71;2;0;1;4;0;2;0;0
R1209;2-9-2015;14:57;6;0;0;0;0;0;0;0;0
R1211;2-9-2015;15:01;46;3;1;0;1;1;1;0;0
R1213;2-9-2015;15:06;26;0;0;0;0;3;0;0;0
R1215;2-9-2015;15:10;15;5;0;0;0;0;0;0;0
R1217;2-9-2015;15:14;31;0;0;1;0;0;0;0;0
R1219;2-9-2015;15:19;31;1;0;0;0;0;0;0;0
R1221;2-9-2015;15:23;45;4;0;4;6;0;0;0;0
R1223;2-9-2015;15:27;9;0;0;0;0;1;0;0;0
R1225;2-9-2015;15:32;0;0;0;0;0;0;0;0;0
R1227;2-9-2015;15:36;9;0;0;0;0;0;0;0;0
R1229;2-9-2015;15:40;24;1;0;0;0;0;0;0;0
R1231;2-9-2015;15:45;1;0;0;0;0;0;0;0;0
R1233;2-9-2015;15:49;15;0;0;0;0;0;0;0;0
R1235;2-9-2015;15:53;3;0;1;1;0;0;0;0;0
R1237;2-9-2015;15:58;9;1;0;0;0;0;0;0;0
R1239;2-9-2015;16:02;27;2;1;0;4;1;2;0;0
R1241;2-9-2015;16:06;0;1;0;0;0;0;0;0;0
R1243;2-9-2015;16:11;6;1;0;0;1;0;0;0;0
R1245;2-9-2015;16:15;12;0;1;0;1;1;1;0;0
R1247;2-9-2015;16:19;0;0;0;0;0;0;0;0;0
R1249;2-9-2015;16:24;11;0;0;0;0;0;0;0;0
R1251;2-9-2015;16:28;7;0;0;0;0;0;0;0;0
R1253;2-9-2015;16:32;4;0;0;0;0;0;0;0;0
R1255;2-9-2015;16:37;24;1;0;0;0;0;0;0;0
R1257;2-9-2015;16:41;165;1;2;3;5;2;1;0;0
R1259;2-9-2015;16:45;4;0;0;0;0;0;0;0;0
R1261;2-9-2015;16:50;10;0;0;1;1;0;0;0;0
R1263;2-9-2015;16:54;0;1;0;0;0;0;0;0;0
R1265;2-9-2015;16:58;10;0;0;0;0;0;0;0;0
