Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1001;2-9-2015;6:10;0;10;4;4;81;28;3,67;3,67;3,67
R1003;2-9-2015;6:30;0;2;3;3;2;6;4,67;4,67;4,67
R1005;2-9-2015;6:42;0;3;2;1;2;6;2,67;2,67;2,67
R1007;2-9-2015;6:55;0;10;9;5;5;3;5,33;5,33;5,33
R1009;2-9-2015;7:05;0;0;0;0;0;2;0,00;0,00;0,00
R1011;2-9-2015;7:14;0;8;11;3;7;15;7,33;7,33;7,33
R1013;2-9-2015;7:21;0;5;9;1;5;28;6,00;6,00;6,00
R1015;2-9-2015;7:26;0;5;15;2;5;30;2,67;2,67;2,67
R1017;2-9-2015;7:31;0;4;7;2;5;23;2,33;2,33;2,33
R1019;2-9-2015;7:36;0;8;11;2;11;27;3,00;3,00;3,00
R1021;2-9-2015;7:40;0;4;5;0;24;14;5,00;5,00;5,00
R1023;2-9-2015;7:44;0;8;8;0;20;16;4,00;4,00;4,00
R1025;2-9-2015;7:48;0;6;6;2;24;22;4,67;4,67;4,67
R1027;2-9-2015;7:52;0;4;10;3;53;40;6,00;6,00;6,00
R1029;2-9-2015;7:57;0;0;0;0;2;1;1,00;1,00;1,00
R1031;2-9-2015;8:01;0;12;2;5;82;46;37,33;37,33;37,33
R1033;2-9-2015;8:05;0;6;16;6;94;38;2,00;2,00;2,00
R1035;2-9-2015;8:09;0;14;12;2;86;59;11,00;11,00;11,00
R1037;2-9-2015;8:14;0;13;6;0;38;37;35,67;35,67;35,67
R1039;2-9-2015;8:18;0;15;11;6;117;88;5,33;5,33;5,33
R1041;2-9-2015;8:22;0;11;1;0;43;39;48,33;48,33;48,33
R1043;2-9-2015;8:26;0;18;6;10;42;91;53,00;53,00;53,00
R1045;2-9-2015;8:30;0;27;8;11;115;238;95,33;95,33;95,33
R1047;2-9-2015;8:35;0;38;22;13;147;186;5,33;5,33;5,33
R1049;2-9-2015;8:39;0;6;4;1;55;90;14,33;14,33;14,33
R1051;2-9-2015;8:43;0;27;5;4;5;9;33,00;33,00;33,00
R1053;2-9-2015;8:47;0;71;15;10;99;167;13,67;13,67;13,67
R1055;2-9-2015;8:52;0;36;1;0;10;8;28,33;28,33;28,33
R1057;2-9-2015;8:56;0;34;4;4;18;26;2,33;2,33;2,33
R1059;2-9-2015;9:00;0;22;5;0;9;5;1,00;1,00;1,00
R1061;2-9-2015;9:05;0;31;2;9;42;32;3,67;3,67;3,67
R1063;2-9-2015;9:09;0;24;6;3;24;19;2,00;2,00;2,00
R1065;2-9-2015;9:14;0;8;2;1;11;17;37,33;37,33;37,33
R1067;2-9-2015;9:19;0;33;9;12;19;39;6,33;6,33;6,33
R1069;2-9-2015;9:24;0;41;9;23;46;45;1,33;1,33;1,33
R1071;2-9-2015;9:28;0;30;13;16;89;83;3,67;3,67;3,67
R1073;2-9-2015;9:33;0;10;0;5;8;12;1,00;1,00;1,00
R1075;2-9-2015;9:38;0;22;3;3;21;14;1,33;1,33;1,33
R1077;2-9-2015;9:43;0;3;0;5;31;77;1,00;1,00;1,00
R1079;2-9-2015;9:48;0;2;1;1;31;12;0,33;0,33;0,33
R1081;2-9-2015;9:52;0;11;5;4;31;38;0,00;0,00;0,00
R1083;2-9-2015;9:57;0;2;1;4;44;12;0,33;0,33;0,33
R1085;2-9-2015;10:02;0;19;6;3;70;29;3,00;3,00;3,00
R1089;2-9-2015;10:11;0;11;2;6;38;42;1,00;1,00;1,00
R1091;2-9-2015;10:16;0;10;3;9;76;79;7,00;7,00;7,00
R1093;2-9-2015;10:21;0;1;1;2;5;41;27,33;27,33;27,33
R1095;2-9-2015;10:26;0;8;6;10;148;148;6,33;6,33;6,33
R1097;2-9-2015;10:31;0;11;0;0;30;53;5,00;5,00;5,00
R1099;2-9-2015;10:35;0;0;0;1;3;5;0,67;0,67;0,67
R1101;2-9-2015;10:40;0;21;2;0;43;50;1,00;1,00;1,00
R1103;2-9-2015;10:45;0;0;78;3;29;24;1,00;1,00;1,00
R1105;2-9-2015;10:50;0;14;1;1;10;9;1,33;1,33;1,33
R1107;2-9-2015;10:54;0;5;1;1;5;8;0,00;0,00;0,00
R1109;2-9-2015;10:59;0;3;0;1;19;17;1,00;1,00;1,00
R1111;2-9-2015;11:04;0;3;1;1;8;1;0,33;0,33;0,33
R1113;2-9-2015;11:09;0;14;1;2;43;25;0,67;0,67;0,67
R1115;2-9-2015;11:14;0;8;2;1;14;15;0,00;0,00;0,00
R1117;2-9-2015;11:18;0;1;0;1;2;5;0,00;0,00;0,00
R1119;2-9-2015;11:23;0;5;1;0;24;20;0,33;0,33;0,33
R1121;2-9-2015;11:28;0;5;0;1;17;17;0,67;0,67;0,67
R1123;2-9-2015;11:33;0;5;2;0;7;12;0,33;0,33;0,33
R1125;2-9-2015;11:37;0;4;0;1;16;15;0,00;0,00;0,00
R1127;2-9-2015;11:42;0;9;2;1;17;25;1,00;1,00;1,00
R1129;2-9-2015;11:47;0;2;0;0;0;2;0,00;0,00;0,00
R1131;2-9-2015;11:52;0;4;2;1;22;20;1,00;1,00;1,00
R1133;2-9-2015;11:57;0;1;2;4;31;38;0,67;0,67;0,67
R1135;2-9-2015;12:01;0;0;1;1;2;3;0,33;0,33;0,33
R1137;2-9-2015;12:06;0;10;0;0;23;16;0,00;0,00;0,00
R1139;2-9-2015;12:11;0;11;1;2;33;21;0,67;0,67;0,67
R1141;2-9-2015;12:16;0;11;4;2;13;22;0,00;0,00;0,00
R1143;2-9-2015;12:20;0;1;0;0;24;22;0,67;0,67;0,67
R1145;2-9-2015;12:25;0;4;4;7;40;40;2,67;2,67;2,67
R1147;2-9-2015;12:30;0;0;0;1;0;1;0,00;0,00;0,00
R1149;2-9-2015;12:35;0;9;7;15;93;117;4,67;4,67;4,67
R1151;2-9-2015;12:40;0;0;1;0;1;1;0,33;0,33;0,33
R1153;2-9-2015;12:44;0;0;2;9;23;42;1,67;1,67;1,67
R1155;2-9-2015;12:49;0;4;1;0;26;34;1,33;1,33;1,33
R1157;2-9-2015;12:54;0;7;3;6;23;79;1,67;1,67;1,67
R1159;2-9-2015;12:59;0;16;1;2;29;56;0,67;0,67;0,67
R1161;2-9-2015;13:03;0;12;1;1;20;23;0,00;0,00;0,00
R1163;2-9-2015;13:08;0;5;99;0;0;0;0,33;0,33;0,33
R1165;2-9-2015;13:13;0;0;0;0;0;0;0,00;0,00;0,00
R1167;2-9-2015;13:18;0;5;4;7;68;56;3,33;3,33;3,33
R1169;2-9-2015;13:23;0;7;1;2;15;23;0,00;0,00;0,00
R1171;2-9-2015;13:27;0;4;2;1;5;7;0,00;0,00;0,00
R1173;2-9-2015;13:32;0;4;1;2;10;13;5,33;5,33;5,33
R1175;2-9-2015;13:37;0;5;4;1;22;11;0,33;0,33;0,33
R1177;2-9-2015;13:42;0;12;0;0;9;14;0,67;0,67;0,67
R1179;2-9-2015;13:46;0;0;0;0;1;0;1,33;1,33;1,33
R1181;2-9-2015;13:51;0;11;1;0;27;19;1,00;1,00;1,00
R1183;2-9-2015;13:56;0;0;0;0;0;0;0,00;0,00;0,00
R1185;2-9-2015;14:01;0;9;2;2;23;18;1,33;1,33;1,33
R1187;2-9-2015;14:06;0;9;2;4;7;9;0,67;0,67;0,67
R1189;2-9-2015;14:10;0;2;0;0;7;5;1,00;1,00;1,00
R1191;2-9-2015;14:15;0;0;0;1;4;2;0,00;0,00;0,00
R1193;2-9-2015;14:20;0;11;0;1;15;29;2,67;2,67;2,67
