"","Time","CS.Centrumzijde","Vaartscherijn","Stadion.Galgenwaard","De.Kromme.Rijn","Padualaan","Heidelberglaan","UMC","WKZ","P.R.Uithof"
"1",6,0,22,29,9.90476190476191,13.1428571428571,21.952380952381,281.047619047619,281.047619047619,281.047619047619
"2",7,0,83.6666666666667,88.1428571428571,21.8571428571429,165.095238095238,224.285714285714,824.619047619048,824.619047619048,824.619047619048
"3",8,0,382.285714285714,104.333333333333,85.3809523809524,754.047619047619,843.857142857143,1025.66666666667,1025.66666666667,1025.66666666667
"4",9,0,238.095238095238,51.5238095238095,30.1428571428571,340.666666666667,341.761904761905,500,500,500
"5",10,0,166.666666666667,26.3333333333333,63.5238095238095,439.666666666667,486.47619047619,386.857142857143,386.857142857143,386.857142857143
"6",11,0,106.571428571429,16.3333333333333,12.7619047619048,202.142857142857,200.857142857143,88,88,88
"7",12,0,118,29.3809523809524,61.5714285714286,347.904761904762,418.619047619048,263.238095238095,263.238095238095,263.238095238095
"8",13,0,76.0952380952381,30.8571428571429,15.1428571428571,160,150.142857142857,179.904761904762,179.904761904762,179.904761904762
"9",14,0,65.8095238095238,23.4761904761905,37.9523809523809,111.666666666667,193.666666666667,183.904761904762,183.904761904762,183.904761904762
"10",15,0,66.1904761904762,25.4761904761905,7.33333333333333,65.6666666666667,76.7619047619048,153.142857142857,153.142857142857,153.142857142857
"11",16,0,63.9523809523809,34.0476190476191,10.8095238095238,62.3809523809524,77.8571428571429,173.238095238095,173.238095238095,173.238095238095
"12",17,0,66.6190476190476,32.3809523809524,10.5238095238095,32.0952380952381,61.0952380952381,103.238095238095,103.238095238095,103.238095238095
"13",18,0,47.0952380952381,20.5714285714286,7.52380952380952,10.9047619047619,34.1428571428571,21.3333333333333,21.3333333333333,21.3333333333333
"14",19,0,44.3809523809524,11.8571428571429,4.61904761904762,3.71428571428571,20.4285714285714,9.66666666666667,9.66666666666667,9.66666666666667
"15",20,0,25.7619047619048,4.76190476190476,3.19047619047619,1.42857142857143,14.3809523809524,4.71428571428571,4.71428571428571,4.71428571428571
"16",21,0,6.47619047619048,1.28571428571429,0.333333333333333,0.19047619047619,2.23809523809524,1.0952380952381,1.0952380952381,1.0952380952381
