Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
P+R Uithof;0;6;7;128,1016409731;104,727497303;3,71;2,904761905;0,0979150172;0,0800524934;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;6;7;128,1016409731;104,727497303;3,71;2,904761905;0,0979150172;0,0800524934;;59,7058823529;0;151,5;0;132,5;0
UMC;0;6;7;128,1016409731;104,727497303;3,71;2,904761905;0,0979150172;0,0800524934;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;6;7;281,0639777685;0;8,14;0;0,2148324096;0;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;6;7;4,322808226;0;0,57;0;0,0033041563;0;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;6;7;42,815642805;104,727497303;1,24;0;0,032726313;0;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;6;7;113,5995684101;104,727497303;3,29;0,523809524;0,0868302982;0,0144356955;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;6;7;466,8286215516;104,727497303;13,52;1,047619048;0,3568223806;0,0288713911;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;6;7;0;0;0;26;0;0,716535433;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;7;8;343,2117743348;0;134,62;6,904761905;0,262335334;0,0420289855;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;7;8;343,2117743348;54,9838022214;134,62;6,904761905;0,262335334;0,0420289855;;59,7058823529;0;151,5;0;132,5;0
UMC;0;7;8;343,2117743348;54,9838022214;134,62;6,904761905;0,262335334;0,0420289855;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;7;8;86,8099904628;0;34,05;0;0,0663535739;0;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;7;8;8,5645331516;1,4003053689;4,86;0,19047619;0,0065463362;0,0010703773;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;7;8;17,0050700848;58,3965899408;6,67;7,333333333;0,0129978954;0,0446376812;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;7;8;19,4270815661;59,1549872188;7,62;7,428571429;0,0148491698;0,0452173913;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;7;8;143,0261516876;156,9882352683;56,1;19,71428571;0,1093226284;0,12;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;7;8;0;867,2272804855;0;108,9047619;0;0,6628985507;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;8;9;363,5753952351;69,2481611101;229,24;13,66666667;0,2779003516;0,0529324973;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;8;9;363,5753952351;69,2481611101;229,24;13,66666667;0,2779003516;0,0529324973;;59,7058823529;0;151,5;0;132,5;0
UMC;0;8;9;363,5753952351;69,2481611101;229,24;13,66666667;0,2779003516;0,0529324973;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;8;9;69,5621044975;1,2064139558;43,86;0,238095238;0,0531700812;0,0009221689;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;8;9;14,5729671066;29,3855469362;10,33;6,047619048;0,0111389075;0,0224619738;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;8;9;8,7547381857;99,1672272029;5,52;19,57142857;0,0066917202;0,075802287;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;8;9;21,4427645419;53,3234968504;13,52;10,52380952;0,0163898654;0,0407598672;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;8;9;101,4249106844;159,4879250458;63,95;31,47619048;0,0775245484;0,1219107341;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;8;9;0;756,6628332398;0;149,3333333;0;0,5783843599;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;9;10;328,9109760726;80,5281475937;102,48;11,04761905;0,2514044599;0,0615547891;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;9;10;328,9109760726;80,5281475937;102,48;11,04761905;0,2514044599;0,0615547891;;59,7058823529;0;151,5;0;132,5;0
UMC;0;9;10;328,9109760726;80,5281475937;102,48;11,04761905;0,2514044599;0,0615547891;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;9;10;125,1710389035;3,1239367626;39;0,428571429;0,0956749994;0,0023879013;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;9;10;25,2925849793;33,811250142;11,33;4,952380952;0,0193324916;0,0258449304;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;9;10;18,6472752828;72,89185772;5,81;10;0,0142531217;0,055717697;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;9;10;20,1878419155;35,4046166058;6,29;4,857142857;0,0154306602;0,0270628814;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;9;10;121,1912417691;123,916158124;37,76;17;0,092633025;0,0947200849;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;9;10;0;795,2154573513;0;109,0952381;0;0,607853542;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;10;11;258,5549469594;33,724221586;178,43;12,14285714;0,1976275392;0,0257784068;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;10;11;258,5549469594;33,724221586;178,43;12,14285714;0,1976275392;0,0257784068;;59,7058823529;0;151,5;0;132,5;0
UMC;0;10;11;258,5549469594;33,724221586;178,43;12,14285714;0,1976275392;0,0257784068;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;10;11;261,2501899194;1,1902666457;180,29;0,428571429;0,1996876592;0,0009098261;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;10;11;108,8192815162;10,9707971599;90,14;4,047619048;0,0831764662;0,0083859511;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;10;11;44,0223016792;69,1677172168;30,38;24,9047619;0,0336486277;0,0528710069;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;10;11;19,11304013;24,4665921381;13,19;8,80952381;0,014609131;0,0187019814;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;10;11;77,6258953574;78,9543540887;53,57;28,42857143;0,059333673;0,0603517994;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;10;11;0;1022,0422920713;0;368;0;0,7812373635;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;59,7058823529;0;151,5;0;132,5;0
UMC;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;11;12;249,9954232218;1,1863927573;185,62;0,476190476;0,1910850319;0,000906865;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;11;12;101,637147813;10,8826652774;104,62;4,476190476;0,0776867728;0,0083185841;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;11;12;40,5390703533;18,1518091952;30,1;7,285714286;0,0309862055;0,013875034;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;11;12;25,6567870508;24,914247914;19,05;10;0,0196108709;0,0190441643;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;11;12;120,4454837772;70,5903690813;89,43;28,33333333;0,0920630019;0,0539584656;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;11;12;0;1095,3964333681;0;439,6666667;0;0,8373084248;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;59,7058823529;0;151,5;0;132,5;0
UMC;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;156,4705882353;0;39;0;598,5;0
