"","Setting","DelayPercentage","AverageDelay","MaximumDelay","PassengerDelayPercentage","AverageWaitingTime","MaximumWaitingTime","PassengersTransported","MaximumQueueLength","AverageQueueLength"
"1","1_55800-3-300-8",0,0,0,77.32,624.46,1293.74,10884.63,135.42,8
"2","1_55800-3-300-10",0,0,0,77.53,624.92,1292.89,10947.84,137.74,8
"3","1_55800-3-300-12",0,0,0,77.59,626.34,1292.32,10898.21,135.26,8
"4","1_55800-3-300-14",0,0,0,77.77,628.01,1306.53,10879.26,133.58,8
"5","1_55800-3-300-16",0,0,0,77.57,624.79,1302.74,10926.16,135.74,8
"6","1_55800-3-300-18",0,0,0,77.46,625.02,1308.05,10957.37,137.58,8
"7","1_55800-3-300-20",0,0,0,77.58,625.25,1297.16,10890.74,137.79,8
"8","1_55800-3-300-22",0,0,0,77.73,627.02,1300.53,10886.63,138.21,8
"9","1_55800-6-300-8",0,0,0,50.02,301.62,829.37,14054.42,73.16,4
"10","1_55800-6-300-10",0,0,0,49.91,300.99,833.74,14079.63,74.53,4
"11","1_55800-6-300-12",0,0,0,49.88,300.85,824.84,14072.74,73.32,3.95
"12","1_55800-6-300-14",0,0,0,49.85,301.01,834.68,14080.16,73.37,4
"13","1_55800-6-300-16",0,0,0,49.89,300.62,831.53,14047.42,76,4
"14","1_55800-6-300-18",0,0,0,49.8,300.69,813.68,14050.74,74,4
"15","1_55800-6-300-20",0,0,0,49.7,300.23,815.21,14014,74.21,4
"16","1_55800-6-300-22",0,0,0,49.81,300.77,821.84,14095.37,75.63,4
"17","1_55800-9-300-8",2.87,73.3,460.42,18.45,200,894.89,13613.32,182.58,10.95
"18","1_55800-9-300-10",0.07,0.19,28.21,16.78,181.64,826.53,14096.63,49.84,2
"19","1_55800-9-300-12",0.02,0.02,6.95,16.91,181.93,808.21,14127.68,48.16,2
"20","1_55800-9-300-14",0.44,1.46,30.26,16.8,181.96,806.32,14030.26,49.47,2
"21","1_55800-9-300-16",0.05,0.15,26.68,16.79,181.38,898.79,14088.84,49.05,2
"22","1_55800-9-300-18",0.19,0.43,33.37,16.79,181.53,870.95,14088.79,49.63,2
"23","1_55800-9-300-20",0,0,0,16.87,181.51,801.63,14132.53,48.16,2
"24","1_55800-9-300-22",0.09,0.31,32.53,16.76,181.79,878.05,14115.16,47.37,2
"25","1_55800-12-300-8",89.69,2738.49,9052.21,41,410.97,1930.11,6326.68,2049.95,154.05
"26","1_55800-12-300-10",0,0.04,13.74,2.7,151.9,790.63,14079.42,42.63,1
"27","1_55800-12-300-12",1.46,13.05,110.05,2.99,152.68,825.32,14110.16,44.74,1.05
"28","1_55800-12-300-14",0,0,0,2.7,151.66,746.26,14117.74,43.32,1
"29","1_55800-12-300-16",0.03,0.06,11.53,2.71,151.92,816.53,14098.16,42.63,1
"30","1_55800-12-300-18",0.03,0.05,10.16,2.63,151.66,801.63,14084.16,42.11,1
"31","1_55800-12-300-20",0.07,0.24,30.37,2.69,152.25,868.37,14097.16,46.11,1
"32","1_55800-12-300-22",0.37,1.61,68.89,2.74,152.3,943.68,14085.74,44.37,1
"33","1_55800-15-300-8",90.68,4333.55,11446.05,50.76,581.64,2405.37,4217.11,2602.11,211.32
"34","1_55800-15-300-10",94.66,6084.55,14813.32,26.04,291.72,1699.89,12452.74,461.84,29.37
"35","1_55800-15-300-12",9.72,463.09,2068.47,2.34,133.46,1001.79,14073.42,46,1.16
"36","1_55800-15-300-14",14.4,631.19,2841.37,3.33,137.05,1195.42,14046.95,59.89,1.21
"37","1_55800-15-300-16",9.82,540.66,1938.05,2.21,130.38,979.11,14054,47.21,1.05
"38","1_55800-15-300-18",16.08,800.88,2975.53,3.08,133.21,1145.21,14081,42.32,1.11
"39","1_55800-15-300-20",1.64,26.21,462.37,0.51,122.85,1033.53,14163.16,36.05,1
"40","1_55800-15-300-22",1.54,16.28,333.68,0.47,122.82,1093.74,14078.53,35.84,1
"41","1_55800-18-300-8",91.21,4888.47,12806.84,45.19,457.27,2421.42,4708.68,2569.68,205.53
"42","1_55800-18-300-10",95.78,9479.06,21953.47,28.87,327.83,1970.63,11097.05,783.26,53.47
"43","1_55800-18-300-12",96.94,10938.4,24770.47,18.87,212.33,1741.47,13654.26,178.32,5.53
"44","1_55800-18-300-14",93.27,9537.16,22690.26,15.36,185.22,2035.05,14030.21,93.84,2.05
"45","1_55800-18-300-16",71.16,6879.94,19945.53,13.09,172.09,2476.68,14044.53,85.58,1.68
"46","1_55800-18-300-18",61.81,5421.98,17760.84,13.2,174.67,2654.58,13944.05,90.47,1.68
"47","1_55800-18-300-20",62.19,5705.74,17518.95,13.15,191.79,3608.42,13967.89,110.95,1.95
"48","1_55800-18-300-22",53.04,4451.17,15832.32,10.19,154.59,3094.89,14030.16,71.63,1.37
"49","1_55800-21-300-8",89.79,5972.52,14108.53,46.83,475.4,2195.37,4331.58,2743.53,228.32
"50","1_55800-21-300-10",94.37,13255.92,29890.32,35.3,358.47,2020.84,10700.68,907.42,64.89
"51","1_55800-21-300-12",96,15585.76,32796.05,18.96,203.13,2137.79,13333.47,303.26,22.79
"52","1_55800-21-300-14",96.6,15922.83,34605.74,16.08,187.05,1554.42,14007.16,92.74,2.11
"53","1_55800-21-300-16",96.09,15292.43,34253.11,14.7,184.23,2101.95,14008.11,84.16,2
"54","1_55800-21-300-18",95.71,14154.13,33362.74,14.87,184.51,3029.47,14066.21,91.89,1.89
"55","1_55800-21-300-20",94.96,14319.09,33258.05,14.67,186.77,3429.21,14028.21,97,2
